bs,std_mean_ms,std_std_ms,std_peak_gb,pool_nograd_mean_ms,pool_nograd_std_ms,pool_nograd_peak_gb,pool_chunked_mean_ms,pool_chunked_std_ms,pool_chunked_peak_gb,fullgrad_mean_ms,fullgrad_std_ms,fullgrad_peak_gb,ratio_pool_vs_std,ratio_chunked_vs_std,ratio_pool_vs_fullgrad,ratio_fullgrad_vs_std
8,13.772821426391602,0.6171253180675019,1.268924416,24.25849437713623,0.46649575222882045,1.355149312,45.205044746398926,0.8987552713344917,1.272991744,60.99815368652344,2.7925571047304336,3.854141952,1.7613307851833386,3.282192032184242,0.3976922728153943,4.428878571651139
16,17.352652549743652,0.40101367216724754,1.633953792,42.328715324401855,3.54711721411009,1.857114112,48.4837532043457,1.4514957871564593,1.641957376,123.44200611114502,8.212727547099187,6.818129408,2.439322472634143,2.7940254704783993,0.34290365701193987,7.1137254524795175
32,25.804948806762695,1.2990380960752397,2.371234304,90.27433395385742,6.279651067636753,2.86124032,78.26857566833496,6.13865231157739,2.385275392,253.15966606140137,18.794674111221422,12.677422592,3.4983341617867985,3.0330839349630154,0.35659050811025433,9.810508362452394
48,44.872069358825684,0.491501614084999,3.114752512,137.72332668304443,9.578326089638601,3.866349568,117.5144910812378,7.864158564503152,3.134831104,379.64279651641846,17.49187766730342,18.520970752,3.069243933942981,2.6188783526232537,0.36277081495233454,8.460559139373593
64,60.9919548034668,3.380790938557274,3.849816576,185.26034355163574,14.193335913354353,4.870148096,163.4798765182495,12.858247033046274,3.876588032,nan,nan,nan,3.0374554176628146,2.6803514831591735,nan,nan
