n_imgs,ms,ms_per_img,throughput,regime
1,3.02201509475708,3.02201509475708,330.9050314589456,flat (under-utilized)
2,3.0097365379333496,1.5048682689666748,664.5099910882265,flat (under-utilized)
4,3.028273582458496,0.757068395614624,1320.8846199267803,flat (under-utilized)
8,3.1466126441955566,0.3933265805244446,2542.416529965108,flat (under-utilized)
16,3.0795812606811523,0.19247382879257202,5195.511547066975,flat (under-utilized)
32,3.258955478668213,0.10184235870838165,9819.097011130985,flat (under-utilized)
48,3.0189037322998047,0.06289382775624593,15899.811407180427,flat (under-utilized)
64,2.9931187629699707,0.04676748067140579,21382.379072888827,flat (under-utilized)
96,4.131340980529785,0.04303480188051859,23237.007173319635,near-peak
128,5.269372463226318,0.04116697236895561,24291.31758919704,near-peak
192,8.740425109863281,0.04552304744720459,21966.894926350247,near-peak
256,11.734223365783691,0.045836810022592545,21816.526924694568,linear (compute-bound)
384,19.326913356781006,0.05033050353328387,19868.666709020585,linear (compute-bound)
512,26.423978805541992,0.051609333604574203,19376.340095028252,linear (compute-bound)
768,41.533684730529785,0.05408031865954399,18491.015304391552,linear (compute-bound)
1024,56.534576416015625,0.05520954728126526,18112.809273828963,linear (compute-bound)
