bs,std_mean_ms,std_std_ms,std_peak_gb,pool_nograd_mean_ms,pool_nograd_std_ms,pool_nograd_peak_gb,pool_chunked_mean_ms,pool_chunked_std_ms,pool_chunked_peak_gb,fullgrad_mean_ms,fullgrad_std_ms,fullgrad_peak_gb,ratio_pool_vs_std,ratio_chunked_vs_std,ratio_pool_vs_fullgrad,ratio_fullgrad_vs_std
8,10.805869102478027,0.33679164192421507,0.893321728,15.091609954833984,0.8222166413948471,0.97543424,40.837645530700684,1.1037875720992245,0.89500928,22.88520336151123,0.9593552968275221,2.09832192,1.3966123235171468,3.779209718664434,0.6594483656726137,2.117849396885915
16,11.614418029785156,0.5155181642281461,1.0601088,18.8856840133667,0.8596833110467337,1.235886592,41.579365730285645,3.19768247434199,1.066760704,53.54759693145752,2.6181870391183995,3.470733824,1.6260551294894323,3.5799784047427456,0.35268966481429453,4.6104416763831635
32,14.163970947265625,0.6699818964083388,1.408907776,42.05195903778076,2.65302737387733,1.76393472,43.453097343444824,0.5740404508067781,1.420900864,103.01868915557861,1.595054498632656,6.22361856,2.9689385267977375,3.0678612308106654,0.40819738032459313,7.273291475895502
64,22.562694549560547,0.772379022341731,2.097469952,77.28207111358643,1.3046500472431743,2.820358656,66.15421772003174,1.7129743167755678,2.124077568,237.41698265075684,8.76155397730983,11.663852032,3.425214614496993,2.932017608744352,0.3255119758103794,10.522545617468415
128,56.59134387969971,1.3666420959782,3.473355264,171.79982662200928,10.61818261746847,4.932174336,151.56099796295166,9.553021323331611,3.524932096,nan,nan,nan,3.035796905392749,2.6781657329985973,nan,nan
