epoch,eval/knn_probe_emb_accuracy,eval/knn_probe_proj_accuracy,eval/linear_probe_emb_top1_epoch,eval/linear_probe_emb_top1_step,eval/linear_probe_emb_top5_epoch,eval/linear_probe_emb_top5_step,eval/linear_probe_proj_top1_epoch,eval/linear_probe_proj_top1_step,eval/linear_probe_proj_top5_epoch,eval/linear_probe_proj_top5_step,fit/inv_loss,fit/inv_margin_active,fit/reg_loss,step,train/linear_probe_emb_loss_epoch,train/linear_probe_emb_loss_step,train/linear_probe_proj_loss_epoch,train/linear_probe_proj_loss_step
0,,,,,,,,,,,,,,49,,2.2968292236328125,,2.2500102519989014
,,,,0.0052083334885537624,,0.3203125,,0.014843749813735485,,0.59375,,,,0,,,,
,,,,0.01718750037252903,,0.3125,,0.01128472201526165,,0.5703125,,,,1,,,,
,,,,0.005580357275903225,,0.265625,,0.0147569440305233,,0.5078125,,,,2,,,,
,,,,0.00342857139185071,,0.4306666851043701,,0.003200000151991844,,0.31066668033599854,,,,3,,,,
,,,,0.0013020833721384406,,0.6171875,,0.0026041667442768812,,0.3359375,,,,4,,,,
,,,,0.009114583022892475,,0.5703125,,0.0007812500116415322,,0.2890625,,,,5,,,,
,,,,0.0,,0.553884744644165,,0.015594542026519775,,0.36591479182243347,,,,6,,,,
,,,,0.004464285913854837,,0.5234375,,0.015625,,0.6484375,,,,7,,,,
,,,,0.0010869564721360803,,0.6287625432014465,,0.0723363608121872,,0.7274247407913208,,,,8,,,,
,,,,0.0,,0.5859375,,0.0166015625,,0.828125,,,,9,,,,
,,,,0.0,,0.5625,,0.0244140625,,0.875,,,,10,,,,
,,,,0.0036630036775022745,,0.6344211101531982,,0.018803419545292854,,0.5268065333366394,,,,11,,,,
,,,,0.0029296875,,0.59375,,0.0007812500116415322,,0.234375,,,,12,,,,
,,,,0.0,,0.6328125,,0.0,,0.28125,,,,13,,,,
,,,,0.0022321429569274187,,0.578125,,0.0008680555620230734,,0.2109375,,,,14,,,,
,,,,0.1701754331588745,,0.7456140518188477,,0.06578947603702545,,0.46052631735801697,,,,15,,,,
,,,,0.2265625,,1.0,,0.076171875,,0.96875,,,,16,,,,
,,,,0.2265625,,0.9921875,,0.0598958320915699,,0.9609375,,,,17,,,,
,,,,0.1458333283662796,,0.7692307829856873,,0.0833333358168602,,0.7884615659713745,,,,18,,,,
,,,,0.0,,0.5625,,0.013888888992369175,,0.78125,,,,19,,,,
,,,,0.0026041667442768812,,0.5625,,0.014508928172290325,,0.71875,,,,20,,,,
,,,,0.0,,0.44252872467041016,,0.03030303120613098,,0.7892720699310303,,,,21,,,,
,,,,0.0,,0.359375,,0.02777777798473835,,0.8671875,,,,22,,,,
,,,,0.0,,0.3984375,,0.0491071417927742,,0.9609375,,,,23,,,,
,,,,0.013671875,,0.546875,,0.02812500111758709,,0.7109375,,,,24,,,,
,,,,0.01227678544819355,,0.8359375,,0.0086805559694767,,0.546875,,,,25,,,,
,,,,0.01227678544819355,,0.8203125,,0.0062500000931322575,,0.4921875,,,,26,,,,
,,,,0.14823904633522034,,0.8948591947555542,,0.06544389575719833,,0.6774735450744629,,,,27,,,,
