Exp 1.2: Standard vs Pooled Accumulation
d=4, K=1024, micro_bs=8, steps=10000, seeds=3

Distribution       Method                 M   T              W1
diagonal_cross     w1_standard           32   2  0.1201+/-0.0021
diagonal_cross     w1_standard           32   4  0.1217+/-0.0078
diagonal_cross     w1_standard           32   8  0.1224+/-0.0018
diagonal_cross     w1_standard           32  16  0.1143+/-0.0018
diagonal_cross     w1_standard           32  32  0.1239+/-0.0070
diagonal_cross     w1_pooled             32   1  0.1338+/-0.0048
diagonal_cross     w1_pooled             32   2  0.1027+/-0.0268
diagonal_cross     w1_pooled             32   4  0.0776+/-0.0083
diagonal_cross     w1_pooled             32   8  0.0713+/-0.0051
diagonal_cross     w1_pooled             32  16  0.0662+/-0.0076
diagonal_cross     w1_pooled             32  32  0.0664+/-0.0029
diagonal_cross     w2_standard           32   1  0.1207+/-0.0052
diagonal_cross     w2_standard           32   2  0.1109+/-0.0101
diagonal_cross     w2_standard           32   4  0.1238+/-0.0133
diagonal_cross     w2_standard           32   8  0.1207+/-0.0029
diagonal_cross     w2_standard           32  16  0.1088+/-0.0030
diagonal_cross     w2_standard           32  32  0.1151+/-0.0043
diagonal_cross     w2_pooled             32   1  0.1207+/-0.0052
diagonal_cross     w2_pooled             32   2  0.0930+/-0.0146
diagonal_cross     w2_pooled             32   4  0.0810+/-0.0262
diagonal_cross     w2_pooled             32   8  0.0756+/-0.0187
diagonal_cross     w2_pooled             32  16  0.0666+/-0.0140
diagonal_cross     w2_pooled             32  32  0.0577+/-0.0052
diagonal_cross     sigreg_standard       32   1  0.1145+/-0.0082
diagonal_cross     sigreg_standard       32   2  0.1045+/-0.0087
diagonal_cross     sigreg_standard       32   4  0.1087+/-0.0015
diagonal_cross     sigreg_standard       32   8  0.1111+/-0.0125
diagonal_cross     sigreg_standard       32  16  0.1157+/-0.0020
diagonal_cross     sigreg_standard       32  32  0.1092+/-0.0028
diagonal_cross     sigreg_pooled         32   1  0.1145+/-0.0082
diagonal_cross     sigreg_pooled         32   2  0.0925+/-0.0131
diagonal_cross     sigreg_pooled         32   4  0.0895+/-0.0096
diagonal_cross     sigreg_pooled         32   8  0.0717+/-0.0103
diagonal_cross     sigreg_pooled         32  16  0.0676+/-0.0128
diagonal_cross     sigreg_pooled         32  32  0.0678+/-0.0035

uniform_square     w1_standard            8   1  0.1203+/-0.0091
uniform_square     w1_standard            8   2  0.1142+/-0.0048
uniform_square     w1_standard            8   4  0.0986+/-0.0027
uniform_square     w1_standard            8   8  0.1028+/-0.0072
uniform_square     w1_standard            8  16  0.1108+/-0.0086
uniform_square     w1_standard            8  32  0.1118+/-0.0042
uniform_square     w1_pooled              8   1  0.1203+/-0.0091
uniform_square     w1_pooled              8   2  0.0848+/-0.0151
uniform_square     w1_pooled              8   4  0.0809+/-0.0066
uniform_square     w1_pooled              8   8  0.0791+/-0.0040
uniform_square     w1_pooled              8  16  0.0530+/-0.0040
uniform_square     w1_pooled              8  32  0.0477+/-0.0079
uniform_square     w2_standard            8   1  0.1077+/-0.0037
uniform_square     w2_standard            8   2  0.1126+/-0.0088
uniform_square     w2_standard            8   4  0.0932+/-0.0038
uniform_square     w2_standard            8   8  0.0876+/-0.0027
uniform_square     w2_standard            8  16  0.0983+/-0.0051
uniform_square     w2_standard            8  32  0.1074+/-0.0039
uniform_square     w2_pooled              8   1  0.1077+/-0.0037
uniform_square     w2_pooled              8   2  0.0705+/-0.0050
uniform_square     w2_pooled              8   4  0.0630+/-0.0117
uniform_square     w2_pooled              8   8  0.0695+/-0.0033
uniform_square     w2_pooled              8  16  0.0500+/-0.0085
uniform_square     w2_pooled              8  32  0.0516+/-0.0010
uniform_square     sigreg_standard        8   1  0.1144+/-0.0084
uniform_square     sigreg_standard        8   2  0.1053+/-0.0067
uniform_square     sigreg_standard        8   4  0.1036+/-0.0030
uniform_square     sigreg_standard        8   8  0.1026+/-0.0080
uniform_square     sigreg_standard        8  16  0.1000+/-0.0084
uniform_square     sigreg_standard        8  32  0.1076+/-0.0033
uniform_square     sigreg_pooled          8   1  0.1144+/-0.0084
uniform_square     sigreg_pooled          8   2  0.0979+/-0.0144
uniform_square     sigreg_pooled          8   4  0.0663+/-0.0184
uniform_square     sigreg_pooled          8   8  0.0486+/-0.0073
uniform_square     sigreg_pooled          8  16  0.0472+/-0.0052
uniform_square     sigreg_pooled          8  32  0.0521+/-0.0093
uniform_square     w1_standard           32   1  0.1151+/-0.0148
uniform_square     w1_standard           32   2  0.1066+/-0.0084
uniform_square     w1_standard           32   4  0.1126+/-0.0118
uniform_square     w1_standard           32   8  0.1104+/-0.0062
uniform_square     w1_standard           32  16  0.1138+/-0.0059
uniform_square     w1_standard           32  32  0.1120+/-0.0047
uniform_square     w1_pooled             32   1  0.1151+/-0.0148
uniform_square     w1_pooled             32   2  0.0672+/-0.0135
uniform_square     w1_pooled             32   4  0.0912+/-0.0084
uniform_square     w1_pooled             32   8  0.0764+/-0.0143
uniform_square     w1_pooled             32  16  0.0703+/-0.0158
uniform_square     w1_pooled             32  32  0.0647+/-0.0084
uniform_square     w2_standard           32   1  0.1083+/-0.0027
uniform_square     w2_standard           32   2  0.1001+/-0.0145
uniform_square     w2_standard           32   4  0.0927+/-0.0124
uniform_square     w2_standard           32   8  0.0996+/-0.0044
uniform_square     w2_standard           32  16  0.1037+/-0.0049
uniform_square     w2_standard           32  32  0.1056+/-0.0062
uniform_square     w2_pooled             32   1  0.1083+/-0.0027
uniform_square     w2_pooled             32   2  0.0722+/-0.0118
uniform_square     w2_pooled             32   4  0.0657+/-0.0084
uniform_square     w2_pooled             32   8  0.0770+/-0.0021
uniform_square     w2_pooled             32  16  0.0482+/-0.0029
uniform_square     w2_pooled             32  32  0.0513+/-0.0041
uniform_square     sigreg_standard       32   1  0.1151+/-0.0036
uniform_square     sigreg_standard       32   2  0.0960+/-0.0099
uniform_square     sigreg_standard       32   4  0.0956+/-0.0127
uniform_square     sigreg_standard       32   8  0.1021+/-0.0101
uniform_square     sigreg_standard       32  16  0.0976+/-0.0097
uniform_square     sigreg_standard       32  32  0.1048+/-0.0030
uniform_square     sigreg_pooled         32   1  0.1151+/-0.0036
uniform_square     sigreg_pooled         32   2  0.0771+/-0.0126
uniform_square     sigreg_pooled         32   4  0.0919+/-0.0047
uniform_square     sigreg_pooled         32   8  0.0629+/-0.0146
uniform_square     sigreg_pooled         32  16  0.0476+/-0.0078
uniform_square     sigreg_pooled         32  32  0.0538+/-0.0054

ring               w1_standard            8   1  0.1095+/-0.0202
ring               w1_standard            8   2  0.1117+/-0.0075
ring               w1_standard            8   4  0.1145+/-0.0089
ring               w1_standard            8   8  0.1058+/-0.0056
ring               w1_standard            8  16  0.1057+/-0.0045
ring               w1_standard            8  32  0.1099+/-0.0028
ring               w1_pooled              8   1  0.1095+/-0.0202
ring               w1_pooled              8   2  0.0847+/-0.0193
ring               w1_pooled              8   4  0.0768+/-0.0216
ring               w1_pooled              8   8  0.0560+/-0.0047
