epoch,eval/knn_probe_accuracy,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/pool_size_epoch,fit/pool_size_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
0,,,,,,,0.13105127215385437,,6.3119988441467285,,512.0,,123.75,49,,2.3017044067382812
,,,0.0435267873108387,,0.7265625,,,,,,,,,0,,
,,,0.04296875,,0.671875,,,,,,,,,1,,
,,,0.0323660708963871,,0.6484375,,,,,,,,,2,,
,,,0.05104761943221092,,0.5973333120346069,,,,,,,,,3,,
,,,0.00434027798473835,,0.484375,,,,,,,,,4,,
,,,0.001953125,,0.4375,,,,,,,,,5,,
,,,0.0,,0.33709272742271423,,,,,,,,,6,,
,,,0.0008680555620230734,,0.1953125,,,,,,,,,7,,
,,,0.008547008968889713,,0.37792643904685974,,,,,,,,,8,,
,,,0.0011160714784637094,,0.375,,,,,,,,,9,,
,,,0.0,,0.4296875,,,,,,,,,10,,
,,,0.0,,0.4735819697380066,,,,,,,,,11,,
,,,0.0022321429569274187,,0.6796875,,,,,,,,,12,,
,,,0.0011160714784637094,,0.6484375,,,,,,,,,13,,
,,,0.001953125,,0.640625,,,,,,,,,14,,
,,,0.09147869795560837,,0.6979950070381165,,,,,,,,,15,,
,,,0.12109375,,0.8828125,,,,,,,,,16,,
,,,0.1184895858168602,,0.875,,,,,,,,,17,,
,,,0.10073260217905045,,0.7660256624221802,,,,,,,,,18,,
,,,0.010044642724096775,,0.6640625,,,,,,,,,19,,
,,,0.0086805559694767,,0.7890625,,,,,,,,,20,,
,,,0.006076086312532425,,0.6196447014808655,,,,,,,,,21,,
,,,0.0031250000465661287,,0.6015625,,,,,,,,,22,,
,,,0.0052083334885537624,,0.703125,,,,,,,,,23,,
,,,0.01215277798473835,,0.7265625,,,,,,,,,24,,
,,,0.0086805559694767,,0.828125,,,,,,,,,25,,
,,,0.013392857275903225,,0.8359375,,,,,,,,,26,,
,,,0.12857511639595032,,0.9138465523719788,,,,,,,,,27,,
,,,0.17656250298023224,,0.984375,,,,,,,,,28,,
,,,0.16875000298023224,,0.9765625,,,,,,,,,29,,
,,,0.13137255609035492,,0.9176470637321472,,,,,,,,,30,,
0,0.2455059289932251,0.20494264364242554,,0.6444441080093384,,,,,,,,,,72,,
0,,,,,,0.12082791328430176,,6.819677352905273,,512.0,,134.09759521484375,,72,2.300708055496216,
1,,,,,,,0.18786659836769104,,4.823004722595215,,512.0,,92.875,99,,2.2933740615844727
,,,0.01897321455180645,,0.375,,,,,,,,,31,,
,,,0.014508928172290325,,0.390625,,,,,,,,,32,,
,,,0.01692708395421505,,0.296875,,,,,,,,,33,,
,,,0.0416666679084301,,0.4466666579246521,,,,,,,,,34,,
,,,0.0,,0.6328125,,,,,,,,,35,,
,,,0.0013020833721384406,,0.546875,,,,,,,,,36,,
,,,0.01253132801502943,,0.6497493982315063,,,,,,,,,37,,
,,,0.0234375,,0.8046875,,,,,,,,,38,,
,,,0.018840579316020012,,0.8782608509063721,,,,,,,,,39,,
,,,0.0,,0.765625,,,,,,,,,40,,
,,,0.0,,0.875,,,,,,,,,41,,
,,,0.0,,0.5920746326446533,,,,,,,,,42,,
,,,0.0,,0.4765625,,,,,,,,,43,,
,,,0.0,,0.5078125,,,,,,,,,44,,
,,,0.0,,0.484375,,,,,,,,,45,,
,,,0.08646617084741592,,0.701127827167511,,,,,,,,,46,,
,,,0.12187500298023224,,0.9765625,,,,,,,,,47,,
,,,0.11874999850988388,,0.96875,,,,,,,,,48,,
,,,0.10149573534727097,,0.9358974695205688,,,,,,,,,49,,
,,,0.008928571827709675,,0.8984375,,,,,,,,,50,,
,,,0.0052083334885537624,,0.9296875,,,,,,,,,51,,
,,,0.08893533051013947,,0.9230233430862427,,,,,,,,,52,,
,,,0.078125,,0.984375,,,,,,,,,53,,
,,,0.0963541641831398,,0.9765625,,,,,,,,,54,,
,,,0.0758928582072258,,0.6796875,,,,,,,,,55,,
,,,0.0,,0.421875,,,,,,,,,56,,
,,,0.0011160714784637094,,0.359375,,,,,,,,,57,,
,,,0.10204081982374191,,0.6437612771987915,,,,,,,,,58,,
,,,0.12109375,,0.8515625,,,,,,,,,59,,
,,,0.1106770858168602,,0.796875,,,,,,,,,60,,
,,,0.09243697673082352,,0.7176470756530762,,,,,,,,,61,,
1,0.23684543371200562,0.20844677090644836,,0.7068413496017456,,,,,,,,,,145,,
1,,,,,,0.1993640810251236,,4.592541217803955,,512.0,,88.05992889404297,,145,2.2437667846679688,
2,,,,,,,0.2572169899940491,,3.556856155395508,,512.0,,66.25,149,,2.244821548461914
2,,,,,,,0.31177031993865967,,2.6868066787719727,,512.0,,47.8125,199,,2.1885290145874023
,,,0.0224609375,,0.8359375,,,,,,,,,62,,
,,,0.0164930559694767,,0.796875,,,,,,,,,63,,
,,,0.0147569440305233,,0.84375,,,,,,,,,64,,
,,,0.06819047778844833,,0.8799999952316284,,,,,,,,,65,,
,,,0.0147569440305233,,0.7421875,,,,,,,,,66,,
,,,0.013671875,,0.796875,,,,,,,,,67,,
,,,0.011121554300189018,,0.6309523582458496,,,,,,,,,68,,
,,,0.0078125,,0.453125,,,,,,,,,69,,
,,,0.0009661835501901805,,0.6020066738128662,,,,,,,,,70,,
,,,0.0,,0.609375,,,,,,,,,71,,
,,,0.0,,0.6875,,,,,,,,,72,,
,,,0.0,,0.5648795962333679,,,,,,,,,73,,
,,,0.0008680555620230734,,0.625,,,,,,,,,74,,
,,,0.0,,0.6171875,,,,,,,,,75,,
,,,0.0008680555620230734,,0.6015625,,,,,,,,,76,,
,,,0.10025062412023544,,0.8621553778648376,,,,,,,,,77,,
,,,0.0885416641831398,,0.9453125,,,,,,,,,78,,
,,,0.1216517835855484,,0.9453125,,,,,,,,,79,,
,,,0.13141025602817535,,0.9102563858032227,,,,,,,,,80,,
,,,0.0234375,,0.8671875,,,,,,,,,81,,
,,,0.01953125,,0.875,,,,,,,,,82,,
,,,0.06247822940349579,,0.899860680103302,,,,,,,,,83,,
,,,0.03515625,,0.9140625,,,,,,,,,84,,
,,,0.041015625,,0.96875,,,,,,,,,85,,
,,,0.04296875,,0.6171875,,,,,,,,,86,,
,,,0.0167410708963871,,0.3984375,,,,,,,,,87,,
,,,0.0052083334885537624,,0.34375,,,,,,,,,88,,
,,,0.08760656416416168,,0.621932327747345,,,,,,,,,89,,
,,,0.0892857164144516,,0.6953125,,,,,,,,,90,,
,,,0.0633680522441864,,0.671875,,,,,,,,,91,,
,,,0.07058823853731155,,0.6117647290229797,,,,,,,,,92,,
2,0.23189552128314972,0.2247145026922226,,0.7092610597610474,,,,,,,,,,218,,
2,,,,,,0.2965092658996582,,2.9837920665740967,,512.0,,54.03981018066406,,218,2.2343597412109375,
3,,,,,,,0.38988539576530457,,2.1340630054473877,,512.0,,35.28125,249,,2.2324438095092773
,,,0.0223214291036129,,0.8671875,,,,,,,,,93,,
,,,0.02083333395421505,,0.90625,,,,,,,,,94,,
,,,0.01996527798473835,,0.875,,,,,,,,,95,,
,,,0.03822222352027893,,0.9520000219345093,,,,,,,,,96,,
,,,0.0338541679084301,,0.90625,,,,,,,,,97,,
,,,0.0380859375,,0.90625,,,,,,,,,98,,
,,,0.01779448799788952,,0.75,,,,,,,,,99,,
,,,0.005859375,,0.625,,,,,,,,,100,,
,,,0.001932367100380361,,0.7484949827194214,,,,,,,,,101,,
,,,0.0017361111240461469,,0.703125,,,,,,,,,102,,
,,,0.0022321429569274187,,0.75,,,,,,,,,103,,
,,,0.03030303120613098,,0.5477855801582336,,,,,,,,,104,,
,,,0.0329861119389534,,0.7265625,,,,,,,,,105,,
,,,0.02566964365541935,,0.7734375,,,,,,,,,106,,
,,,0.03125,,0.703125,,,,,,,,,107,,
,,,0.021661298349499702,,0.6616541147232056,,,,,,,,,108,,
,,,0.0008680555620230734,,0.421875,,,,,,,,,109,,
,,,0.0015625000232830644,,0.453125,,,,,,,,,110,,
,,,0.03632478415966034,,0.6955128312110901,,,,,,,,,111,,
,,,0.0390625,,0.90625,,,,,,,,,112,,
