epoch,eval/knn_probe_emb_accuracy,eval/knn_probe_proj_h0_accuracy,eval/knn_probe_proj_h1_accuracy,eval/knn_probe_proj_h2_accuracy,eval/linear_probe_emb_top1_epoch,eval/linear_probe_emb_top1_step,eval/linear_probe_emb_top5_epoch,eval/linear_probe_emb_top5_step,eval/linear_probe_proj_h0_top1_epoch,eval/linear_probe_proj_h0_top1_step,eval/linear_probe_proj_h0_top5_epoch,eval/linear_probe_proj_h0_top5_step,eval/linear_probe_proj_h1_top1_epoch,eval/linear_probe_proj_h1_top1_step,eval/linear_probe_proj_h1_top5_epoch,eval/linear_probe_proj_h1_top5_step,eval/linear_probe_proj_h2_top1_epoch,eval/linear_probe_proj_h2_top1_step,eval/linear_probe_proj_h2_top5_epoch,eval/linear_probe_proj_h2_top5_step,fit/inv_loss,fit/inv_loss_h0,fit/inv_loss_h1,fit/inv_loss_h2,fit/reg_loss,fit/reg_loss_h0,fit/reg_loss_h1,fit/reg_loss_h2,step,train/linear_probe_emb_loss_epoch,train/linear_probe_emb_loss_step,train/linear_probe_proj_h0_loss_epoch,train/linear_probe_proj_h0_loss_step,train/linear_probe_proj_h1_loss_epoch,train/linear_probe_proj_h1_loss_step,train/linear_probe_proj_h2_loss_epoch,train/linear_probe_proj_h2_loss_step
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,4.592491149902344,,4.629432678222656,,4.5872344970703125,,4.597419738769531
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,4.5983123779296875,,4.697425842285156,,4.610649108886719,,4.554168701171875
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149,,4.48077392578125,,4.687034606933594,,4.56451416015625,,4.473957061767578
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199,,4.4748382568359375,,4.6000823974609375,,4.5674896240234375,,4.4749603271484375
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249,,4.407844543457031,,4.598197937011719,,4.514778137207031,,4.440376281738281
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299,,4.493804931640625,,4.538764953613281,,4.502769470214844,,4.4362030029296875
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349,,4.351844787597656,,4.509452819824219,,4.451362609863281,,4.345672607421875
,,,,,,0.06434600055217743,,0.26523810625076294,,0.0235294122248888,,0.18857142329216003,,0.061991870403289795,,0.24571430683135986,,0.03431372717022896,,0.2604762017726898,,,,,,,,,0,,,,,,,,
,,,,,,0.0873015895485878,,0.23630136251449585,,0.048192769289016724,,0.1826484054327011,,0.03256705030798912,,0.12100456655025482,,0.06976744532585144,,0.22488583624362946,,,,,,,,,1,,,,,,,,
,,,,,,0.022357722744345665,,0.17995169758796692,,0.013725491240620613,,0.11835748702287674,,0.003875969210639596,,0.16545893251895905,,0.03413654491305351,,0.20652174949645996,,,,,,,,,2,,,,,,,,
,,,,,,0.01666666753590107,,0.11318407952785492,,0.02298850566148758,,0.1268656700849533,,0.011904762126505375,,0.14800994098186493,,0.0117647061124444,,0.18532337248325348,,,,,,,,,3,,,,,,,,
,,,,,,0.06458333134651184,,0.24523809552192688,,0.065476194024086,,0.1389610469341278,,0.03598485141992569,,0.1779220700263977,,0.050200801342725754,,0.24372294545173645,,,,,,,,,4,,,,,,,,
,,,,,,0.05894308537244797,,0.1968468427658081,,0.0396825410425663,,0.1227477490901947,,0.03875968977808952,,0.1970720887184143,,0.07028111815452576,,0.20495496690273285,,,,,,,,,5,,,,,,,,
,,,,,,0.07958333194255829,,0.25022828578948975,,0.05155038833618164,,0.1342465877532959,,0.04214559495449066,,0.17100456357002258,,0.07119341939687729,,0.2570776343345642,,,,,,,,,6,,,,,,,,
,,,,,,0.05349794775247574,,0.23888888955116272,,0.033914729952812195,,0.15555556118488312,,0.060077518224716187,,0.12444444745779037,,0.05303030461072922,,0.23111110925674438,,,,,,,,,7,,,,,,,,
,,,,,,0.09375,,0.31134259700775146,,0.038314178586006165,,0.18518519401550293,,0.02083333395421505,,0.16550925374031067,,0.08921568840742111,,0.253472238779068,,,,,,,,,8,,,,,,,,
,,,,,,0.0644841268658638,,0.23004694283008575,,0.028514055535197258,,0.0967136099934578,,0.04494382068514824,,0.13967135548591614,,0.060077518224716187,,0.2124413102865219,,,,,,,,,9,,,,,,,,
,,,,,,0.03246753290295601,,0.2601010203361511,,0.046184737235307693,,0.13636364042758942,,0.06687243282794952,,0.2361111044883728,,0.07700422406196594,,0.18434342741966248,,,,,,,,,10,,,,,,,,
,,,,,,0.03614457696676254,,0.23356807231903076,,0.040262170135974884,,0.1244131401181221,,0.03235294297337532,,0.1654929518699646,,0.049418605864048004,,0.2089201807975769,,,,,,,,,11,,,,,,,,
,,,,,,0.05637860298156738,,0.2243243306875229,,0.024904215708374977,,0.11756756901741028,,0.05402299016714096,,0.21216216683387756,,0.07739463448524475,,0.22657658159732819,,,,,,,,,12,,,,,,,,
,,,,,,0.0625,,0.24657534062862396,,0.06201550364494324,,0.15753424167633057,,0.0793650820851326,,0.24543379247188568,,0.07723576575517654,,0.33675798773765564,,,,,,,,,13,,,,,,,,
,,,,,,0.0519607849419117,,0.23051947355270386,,0.04748062044382095,,0.1277056336402893,,0.04629629850387573,,0.17316016554832458,,0.04693486541509628,,0.17640691995620728,,,,,,,,,14,,,,,,,,
,,,,,,0.08547008782625198,,0.31018519401550293,,0.0386904776096344,,0.13078704476356506,,0.05882353335618973,,0.2152777761220932,,0.08130081743001938,,0.30671295523643494,,,,,,,,,15,,,,,,,,
,,,,,,0.052579365670681,,0.22649574279785156,,0.02631579153239727,,0.12713675200939178,,0.05717054381966591,,0.1816239356994629,,0.06818182021379471,,0.20512822270393372,,,,,,,,,16,,,,,,,,
,,,,,,0.075396828353405,,0.23666667938232422,,0.03529411926865578,,0.1388888955116272,,0.03875968977808952,,0.19999998807907104,,0.07765151560306549,,0.20222222805023193,,,,,,,,,17,,,,,,,,
,,,,,,0.0625,,0.2809523940086365,,0.045634925365448,,0.14523810148239136,,0.02549019828438759,,0.18095239996910095,,0.095238097012043,,0.2785714268684387,,,,,,,,,18,,,,,,,,
,,,,,,0.043290041387081146,,0.3285714387893677,,0.0357142873108387,,0.13452382385730743,,0.04471544548869133,,0.2607142925262451,,0.06623931974172592,,0.33571428060531616,,,,,,,,,19,,,,,,,,
,,,,,,0.08434958755970001,,0.21271929144859314,,0.05185185372829437,,0.14144736528396606,,0.05337078496813774,,0.16557016968727112,,0.07196970283985138,,0.21271929144859314,,,,,,,,,20,,,,,,,,
,,,,,,0.027426160871982574,,0.22142857313156128,,0.027906976640224457,,0.10928571969270706,,0.041960787028074265,,0.20976191759109497,,0.08392857015132904,,0.261904776096344,,,,,,,,,21,,,,,,,,
,,,,,,0.09081196784973145,,0.19600939750671387,,0.05833333358168602,,0.15023474395275116,,0.058232929557561874,,0.23122066259384155,,0.037254903465509415,,0.2441314458847046,,,,,,,,,22,,,,,,,,
,,,,,,0.0936214029788971,,0.3181818127632141,,0.060240961611270905,,0.15259739756584167,,0.06460674107074738,,0.20670995116233826,,0.06526104360818863,,0.29870131611824036,,,,,,,,,23,,,,,,,,
,,,,,,0.05312500149011612,,0.3153153359889984,,0.031007753685116768,,0.14527027308940887,,0.03488372266292572,,0.21396397054195404,,0.04789271950721741,,0.37612614035606384,,,,,,,,,24,,,,,,,,
,,,,,,0.07666666805744171,,0.2636815905570984,,0.02579365111887455,,0.136069655418396,,0.02619047835469246,,0.17736318707466125,,0.0645299181342125,,0.2539801001548767,,,,,,,,,25,,,,,,,,
,,,,,,0.04718875512480736,,0.16190476715564728,,0.05522087961435318,,0.15833333134651184,,0.04118774086236954,,0.1845238208770752,,0.05588235706090927,,0.1952381134033203,,,,,,,,,26,,,,,,,,
,,,,,,0.0615079402923584,,0.2721518874168396,,0.034090910106897354,,0.10337553173303604,,0.06976744532585144,,0.23417723178863525,,0.09883721172809601,,0.2932489514350891,,,,,,,,,27,,,,,,,,
,,,,,,0.07613169401884079,,0.22685186564922333,,0.0297619067132473,,0.14467592537403107,,0.03932584449648857,,0.19212964177131653,,0.06995885074138641,,0.2604166865348816,,,,,,,,,28,,,,,,,,
,,,,,,0.07124999910593033,,0.25024154782295227,,0.04116465896368027,,0.1910628080368042,,0.03256705030798912,,0.2181159406900406,,0.05907173454761505,,0.2606280446052551,,,,,,,,,29,,,,,,,,
,,,,,,0.0307539701461792,,0.19764958322048187,,0.023946359753608704,,0.15705129504203796,,0.017399268224835396,,0.13247863948345184,,0.04074074327945709,,0.18482907116413116,,,,,,,,,30,,,,,,,,
,,,,,,0.08232931792736053,,0.26735159754753113,,0.030000001192092896,,0.09954337775707245,,0.04259259253740311,,0.20570777356624603,,0.05037037283182144,,0.22168950736522675,,,,,,,,,31,,,,,,,,
,,,,,,0.07256097346544266,,0.2263888716697693,,0.0575396865606308,,0.1224537044763565,,0.08112449944019318,,0.21203704178333282,,0.07320675253868103,,0.2335648238658905,,,,,,,,,32,,,,,,,,
,,,,,,0.03947368264198303,,0.24803921580314636,,0.018410852178931236,,0.18014706671237946,,0.01568627543747425,,0.13235294818878174,,0.0297619067132473,,0.2757353186607361,,,,,,,,,33,,,,,,,,
,,,,,,0.04718875139951706,,0.1993243247270584,,0.02340823970735073,,0.1204954981803894,,0.03972868248820305,,0.14752252399921417,,0.0625,,0.21621622145175934,,,,,,,,,34,,,,,,,,
,,,,,,0.0575396865606308,,0.25108224153518677,,0.051724135875701904,,0.16450217366218567,,0.02380952425301075,,0.20129869878292084,,0.06976744532585144,,0.20346319675445557,,,,,,,,,35,,,,,,,,
,,,,,,0.028112448751926422,,0.19014084339141846,,0.017241379246115685,,0.1208920106291771,,0.06201550364494324,,0.17723004519939423,,0.06470588594675064,,0.2136150300502777,,,,,,,,,36,,,,,,,,
,,,,,,0.06578947603702545,,0.2769607901573181,,0.0376984141767025,,0.14460784196853638,,0.06275720149278641,,0.22549021244049072,,0.0416666641831398,,0.2291666567325592,,,,,,,,,37,,,,,,,,
,,,,,,0.054924242198467255,,0.1940639317035675,,0.03787878900766373,,0.15981735289096832,,0.04814814776182175,,0.15068493783473969,,0.02651515230536461,,0.21917809545993805,,,,,,,,,38,,,,,,,,
,,,,,,0.05907173082232475,,0.21361500024795532,,0.008130081929266453,,0.1232394352555275,,0.08434958755970001,,0.2570422291755676,,0.0585317499935627,,0.2453051656484604,,,,,,,,,39,,,,,,,,
,,,,,,0.0569620281457901,,0.22380954027175903,,0.03556910157203674,,0.17976191639900208,,0.07251082360744476,,0.18571430444717407,,0.0793650820851326,,0.18095239996910095,,,,,,,,,40,,,,,,,,
,,,,,,0.049145299941301346,,0.256428599357605,,0.03333333507180214,,0.16547620296478271,,0.03861788660287857,,0.1952381134033203,,0.07125000655651093,,0.35880953073501587,,,,,,,,,41,,,,,,,,
,,,,,,0.085317462682724,,0.2896103858947754,,0.06835205852985382,,0.1634199023246765,,0.04117647185921669,,0.1586579978466034,,0.08430232852697372,,0.2742424011230469,,,,,,,,,42,,,,,,,,
,,,,,,0.07364341616630554,,0.2622222304344177,,0.01498127356171608,,0.109333336353302,,0.03448275849223137,,0.15333333611488342,,0.03745318204164505,,0.20666667819023132,,,,,,,,,43,,,,,,,,
,,,,,,0.044871795922517776,,0.2202702760696411,,0.05681818351149559,,0.14954955875873566,,0.049803923815488815,,0.17927928268909454,,0.04022988677024841,,0.20180180668830872,,,,,,,,,44,,,,,,,,
,,,,,,0.037254903465509415,,0.22186146676540375,,0.028735633939504623,,0.0595238134264946,,0.06201550364494324,,0.1666666567325592,,0.038314178586006165,,0.20995670557022095,,,,,,,,,45,,,,,,,,
,,,,,,0.07489451766014099,,0.24761906266212463,,0.055555559694767,,0.1373809576034546,,0.028112448751926422,,0.14523810148239136,,0.05686274915933609,,0.2683333158493042,,,,,,,,,46,,,,,,,,
,,,,,,0.03235294297337532,,0.23571428656578064,,0.022592592984437943,,0.09177488833665848,,0.05686274915933609,,0.18095237016677856,,0.026819923892617226,,0.26493504643440247,,,,,,,,,47,,,,,,,,
,,,,,,0.07818929851055145,,0.1701388955116272,,0.02320675179362297,,0.16203704476356506,,0.04411764815449715,,0.1458333432674408,,0.07028112560510635,,0.23495370149612427,,,,,,,,,48,,,,,,,,
,,,,,,0.05263157933950424,,0.2734299600124359,,0.045121949166059494,,0.10917874425649643,,0.0396825410425663,,0.17318840324878693,,0.07926829159259796,,0.2727053165435791,,,,,,,,,49,,,,,,,,
,,,,,,0.03658536449074745,,0.21412037312984467,,0.033707864582538605,,0.1354166567325592,,0.03797468543052673,,0.2083333432674408,,0.03086419776082039,,0.3009259104728699,,,,,,,,,50,,,,,,,,
,,,,,,0.0958847776055336,,0.28574562072753906,,0.03678160905838013,,0.15482456982135773,,0.05056179687380791,,0.22631578147411346,,0.061302684247493744,,0.26798245310783386,,,,,,,,,51,,,,,,,,
,,,,,,0.0595238134264946,,0.2826666831970215,,0.033707864582538605,,0.12333333492279053,,0.06896551698446274,,0.2133333384990692,,0.1064257025718689,,0.29666668176651,,,,,,,,,52,,,,,,,,
,,,,,,0.07067511230707169,,0.24771690368652344,,0.034090910106897354,,0.15981735289096832,,0.027131780982017517,,0.12557077407836914,,0.05232557654380798,,0.23630137741565704,,,,,,,,,53,,,,,,,,
,,,,,,0.095238097012043,,0.24567098915576935,,0.03888889029622078,,0.10822510719299316,,0.04360464960336685,,0.15692640841007233,,0.08429118990898132,,0.26623377203941345,,,,,,,,,54,,,,,,,,
,,,,,,0.05349794402718544,,0.22945205867290497,,0.039772726595401764,,0.17123287916183472,,0.04789271950721741,,0.19063925743103027,,0.06124497950077057,,0.24657535552978516,,,,,,,,,55,,,,,,,,
,,,,,,0.06265060603618622,,0.20877192914485931,,0.04693486541509628,,0.13640350103378296,,0.0585317499935627,,0.24890351295471191,,0.059659093618392944,,0.25526314973831177,,,,,,,,,56,,,,,,,,
,,,,,,0.06041666865348816,,0.21347030997276306,,0.024096384644508362,,0.11187214404344559,,0.06686046719551086,,0.20205479860305786,,0.06666667014360428,,0.2340182662010193,,,,,,,,,57,,,,,,,,
,,,,,,0.03333333134651184,,0.19842344522476196,,0.03219696879386902,,0.09099099040031433,,0.04404762387275696,,0.171621635556221,,0.06472868472337723,,0.28626126050949097,,,,,,,,,58,,,,,,,,
,,,,,,0.08235295116901398,,0.27004218101501465,,0.03183520585298538,,0.10864979028701782,,0.06589147448539734,,0.15400844812393188,,0.1190476268529892,,0.28691983222961426,,,,,,,,,59,,,,,,,,
,,,,,,0.04844961315393448,,0.15625,,0.03759690001606941,,0.12222222983837128,,0.03787878900766373,,0.19074074923992157,,0.00561797758564353,,0.17986109852790833,,,,,,,,,60,,,,,,,,
,,,,,,0.06666667014360428,,0.21466666460037231,,0.038314178586006165,,0.13333334028720856,,0.029411766678094864,,0.22600001096725464,,0.08921569585800171,,0.21444444358348846,,,,,,,,,61,,,,,,,,
,,,,,,0.06410256773233414,,0.20717594027519226,,0.03333333507180214,,0.1597222238779068,,0.085317462682724,,0.2118055522441864,,0.05967078357934952,,0.2256944477558136,,,,,,,,,62,,,,,,,,
,,,,,,0.046875,,0.17592594027519226,,0.02263374626636505,,0.1701388955116272,,0.05681818351149559,,0.21759259700775146,,0.07489451766014099,,0.22453704476356506,,,,,,,,,63,,,,,,,,
,,,,,,0.05522087961435318,,0.21875,,0.04268292337656021,,0.15509259700775146,,0.03639846667647362,,0.2048611044883728,,0.07549020648002625,,0.2673611044883728,,,,,,,,,64,,,,,,,,
,,,,,,0.029878048226237297,,0.2698630094528198,,0.0345381498336792,,0.14086759090423584,,0.040697675198316574,,0.155251145362854,,0.037254903465509415,,0.29041093587875366,,,,,,,,,65,,,,,,,,
,,,,,,0.06168831139802933,,0.2818840742111206,,0.028455283492803574,,0.1111111044883728,,0.0313725508749485,,0.16111111640930176,,0.04807692766189575,,0.2903381586074829,,,,,,,,,66,,,,,,,,
,,,,,,0.029116464778780937,,0.206196591258049,,0.04607843607664108,,0.1794871985912323,,0.045930229127407074,,0.14508548378944397,,0.04360465332865715,,0.19871795177459717,,,,,,,,,67,,,,,,,,
,,,,,,0.09555555880069733,,0.27662038803100586,,0.03294573724269867,,0.16435185074806213,,0.060975607484579086,,0.253472238779068,,0.051948051899671555,,0.27314817905426025,,,,,,,,,68,,,,,,,,
,,,,,,0.07805907726287842,,0.22142857313156128,,0.04732510447502136,,0.13333334028720856,,0.07520325481891632,,0.17738094925880432,,0.08229166269302368,,0.2676190733909607,,,,,,,,,69,,,,,,,,
,,,,,,0.09829059988260269,,0.21666666865348816,,0.03875968977808952,,0.10472972691059113,,0.06867469847202301,,0.21891891956329346,,0.0515873059630394,,0.21441441774368286,,,,,,,,,70,,,,,,,,
,,,,,,0.0941176488995552,,0.2510548532009125,,0.03932584077119827,,0.13080169260501862,,0.1195652186870575,,0.2320675253868103,,0.07692307978868484,,0.24367088079452515,,,,,,,,,71,,,,,,,,
,,,,,,0.04674796760082245,,0.23148149251937866,,0.019607843831181526,,0.1875,,0.040697675198316574,,0.2083333283662796,,0.06818182021379471,,0.20995371043682098,,,,,,,,,72,,,,,,,,
,,,,,,0.044961243867874146,,0.1974683552980423,,0.034644193947315216,,0.10759493708610535,,0.0363636389374733,,0.1447257399559021,,0.022159092128276825,,0.19535864889621735,,,,,,,,,73,,,,,,,,
,,,,,,0.11249999701976776,,0.287162184715271,,0.03875969350337982,,0.18130631744861603,,0.0905349850654602,,0.19594594836235046,,0.07594937086105347,,0.31644147634506226,,,,,,,,,74,,,,,,,,
,,,,,,0.06504064798355103,,0.222222238779068,,0.06759259104728699,,0.14444443583488464,,0.0729166641831398,,0.14888888597488403,,0.04406130313873291,,0.2588889002799988,,,,,,,,,75,,,,,,,,
,,,,,,0.04629629850387573,,0.22769953310489655,,0.02247191034257412,,0.11619718372821808,,0.0307539701461792,,0.15375587344169617,,0.043172687292099,,0.2910798192024231,,,,,,,,,76,,,,,,,,
,,,,,,0.05624999850988388,,0.21948355436325073,,0.05894308537244797,,0.14671361446380615,,0.06645569950342178,,0.17605632543563843,,0.05722891166806221,,0.26173707842826843,,,,,,,,,77,,,,,,,,
,,,,,,0.0,,0.20000001788139343,,0.03999999910593033,,0.20000001788139343,,0.0833333358168602,,0.20000001788139343,,0.03846153989434242,,0.20000001788139343,,,,,,,,,78,,,,,,,,
0,0.06929999589920044,0.062300004065036774,0.06350000202655792,0.06019999831914902,0.06769999861717224,,0.2345000058412552,,0.04410000145435333,,0.13940000534057617,,0.05849999934434891,,0.18770000338554382,,0.07260000705718994,,0.24970000982284546,,,,,,,,,,389,,,,,,,,
0,,,,,,,,,,,,,,,,,,,,,0.23477791249752045,0.26649853587150574,0.24207963049411774,0.1957557648420334,0.22447729110717773,0.17575934529304504,0.21791021525859833,0.2797626256942749,389,4.4964375495910645,,4.633401393890381,,4.561583042144775,,4.481353759765625,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399,,4.310810089111328,,4.522216796875,,4.4927520751953125,,4.341346740722656
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,449,,4.352691650390625,,4.510566711425781,,4.4564666748046875,,4.308952331542969
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499,,4.388206481933594,,4.512321472167969,,4.399726867675781,,4.336078643798828
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,549,,4.300909042358398,,4.447547912597656,,4.3707122802734375,,4.266841888427734
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599,,4.109798431396484,,4.420829772949219,,4.3012542724609375,,4.096534729003906
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649,,4.149501800537109,,4.317955017089844,,4.271831512451172,,4.113903045654297
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699,,4.049657821655273,,4.364143371582031,,4.200916290283203,,4.000114440917969
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749,,4.226757049560547,,4.3713531494140625,,4.278694152832031,,4.1594390869140625
,,,,,,0.1276371330022812,,0.33666667342185974,,0.10101626068353653,,0.2616666853427887,,0.09702381491661072,,0.2783333361148834,,0.10392157733440399,,0.3221428394317627,,,,,,,,,79,,,,,,,,
,,,,,,0.08914728462696075,,0.32420092821121216,,0.08620689809322357,,0.26484018564224243,,0.08232931792736053,,0.24315068125724792,,0.07196970283985138,,0.2888127863407135,,,,,,,,,80,,,,,,,,
,,,,,,0.1289682537317276,,0.34057971835136414,,0.08235294371843338,,0.25724637508392334,,0.08141762763261795,,0.3181159496307373,,0.11015325784683228,,0.35144931077957153,,,,,,,,,81,,,,,,,,
,,,,,,0.1084362119436264,,0.29203981161117554,,0.03915662318468094,,0.22114427387714386,,0.07520324736833572,,0.25149253010749817,,0.061176471412181854,,0.2584577202796936,,,,,,,,,82,,,,,,,,
,,,,,,0.11046511679887772,,0.3162337839603424,,0.09437750279903412,,0.28073593974113464,,0.09770114719867706,,0.3075757622718811,,0.08614231646060944,,0.328138530254364,,,,,,,,,83,,,,,,,,
,,,,,,0.07267441600561142,,0.3063063323497772,,0.06827308982610703,,0.20878379046916962,,0.05000000447034836,,0.22747749090194702,,0.06666667014360428,,0.25833335518836975,,,,,,,,,84,,,,,,,,
