epoch,eval/knn_probe_accuracy,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/pool_size_epoch,fit/pool_size_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
,,,0.0,,0.1875,,,,,,,,,96,,
,,,0.0,,0.4375,,,,,,,,,97,,
,,,0.0,,0.3125,,,,,,,,,98,,
,,,0.0,,0.375,,,,,,,,,99,,
,,,0.0,,0.3125,,,,,,,,,100,,
,,,0.0,,0.25,,,,,,,,,101,,
,,,0.0,,0.375,,,,,,,,,102,,
,,,0.0,,0.25,,,,,,,,,103,,
,,,0.0,,0.25,,,,,,,,,104,,
,,,0.0,,0.4375,,,,,,,,,105,,
,,,0.0,,0.3125,,,,,,,,,106,,
,,,0.0,,0.375,,,,,,,,,107,,
,,,0.0,,0.25,,,,,,,,,108,,
,,,0.0,,0.3125,,,,,,,,,109,,
,,,0.0,,0.4375,,,,,,,,,110,,
,,,0.0,,0.5,,,,,,,,,111,,
,,,0.0,,0.25,,,,,,,,,112,,
,,,0.0,,0.5,,,,,,,,,113,,
,,,0.0,,0.375,,,,,,,,,114,,
,,,0.0,,0.4375,,,,,,,,,115,,
,,,0.0,,0.625,,,,,,,,,116,,
,,,0.0,,0.4375,,,,,,,,,117,,
,,,0.0,,0.25,,,,,,,,,118,,
,,,0.0,,0.25,,,,,,,,,119,,
,,,0.0,,0.5357142686843872,,,,,,,,,120,,
,,,0.0833333358168602,,0.875,,,,,,,,,121,,
,,,0.0416666679084301,,0.875,,,,,,,,,122,,
,,,0.03125,,0.875,,,,,,,,,123,,
,,,0.1041666641831398,,0.875,,,,,,,,,124,,
,,,0.0833333358168602,,0.9375,,,,,,,,,125,,
,,,0.0625,,1.0,,,,,,,,,126,,
,,,0.046875,,0.875,,,,,,,,,127,,
,,,0.1041666641831398,,0.9375,,,,,,,,,128,,
,,,0.15625,,1.0,,,,,,,,,129,,
,,,0.1041666641831398,,1.0,,,,,,,,,130,,
,,,0.125,,1.0,,,,,,,,,131,,
,,,0.125,,1.0,,,,,,,,,132,,
,,,0.1041666641831398,,0.875,,,,,,,,,133,,
,,,0.03125,,1.0,,,,,,,,,134,,
,,,0.0833333358168602,,1.0,,,,,,,,,135,,
,,,0.1041666641831398,,1.0,,,,,,,,,136,,
,,,0.0625,,1.0,,,,,,,,,137,,
,,,0.1666666716337204,,1.0,,,,,,,,,138,,
,,,0.0416666679084301,,1.0,,,,,,,,,139,,
