Exp 1.3: DDP Simulation
d=4, M=32, BS_per_device=64, accum_steps=4, K=1024, steps=10000, seeds=3

Distribution       Mode                     D              W1
uniform_square     pooled_w1                4  0.0373+/-0.0060
uniform_square     pooled_w1                8  0.0326+/-0.0015
uniform_square     pooled_w1               16  0.0268+/-0.0028
uniform_square     pooled_global_w1         1  0.0462+/-0.0073
uniform_square     pooled_global_w1         2  0.0385+/-0.0036
uniform_square     pooled_global_w1         4  0.0359+/-0.0014
uniform_square     pooled_global_w1         8  0.0341+/-0.0063
uniform_square     pooled_global_w1        16  0.0310+/-0.0020

ring               local_sigreg             1  0.0666+/-0.0151
ring               local_sigreg             2  0.0592+/-0.0034
ring               local_sigreg             4  0.0584+/-0.0127
ring               local_sigreg             8  0.0472+/-0.0095
ring               local_sigreg            16  0.0443+/-0.0057
ring               global_sigreg            1  0.0666+/-0.0151
ring               global_sigreg            2  0.0585+/-0.0074
ring               global_sigreg            4  0.0533+/-0.0060
ring               global_sigreg            8  0.0450+/-0.0028
ring               global_sigreg           16  0.0352+/-0.0016
ring               pooled_sigreg            1  0.0573+/-0.0038
ring               pooled_sigreg            2  0.0526+/-0.0021
ring               pooled_sigreg            4  0.0492+/-0.0025
ring               pooled_sigreg            8  0.0411+/-0.0013
ring               pooled_sigreg           16  0.0393+/-0.0003
ring               pooled_global_sigreg     1  0.0573+/-0.0038
ring               pooled_global_sigreg     2  0.0536+/-0.0069
ring               pooled_global_sigreg     4  0.0533+/-0.0083
ring               pooled_global_sigreg     8  0.0456+/-0.0001
ring               pooled_global_sigreg    16  0.0454+/-0.0018
ring               local_w1                 1  0.0517+/-0.0077
ring               local_w1                 2  0.0554+/-0.0111
ring               local_w1                 4  0.0364+/-0.0011
ring               local_w1                 8  0.0455+/-0.0087
ring               local_w1                16  0.0386+/-0.0062
ring               global_w1                1  0.0517+/-0.0077
ring               global_w1                2  0.0541+/-0.0151
ring               global_w1                4  0.0401+/-0.0059
ring               global_w1                8  0.0404+/-0.0095
ring               global_w1               16  0.0316+/-0.0050
ring               pooled_w1                1  0.0525+/-0.0030
ring               pooled_w1                2  0.0411+/-0.0062
ring               pooled_w1                4  0.0380+/-0.0043
ring               pooled_w1                8  0.0320+/-0.0037
ring               pooled_w1               16  0.0266+/-0.0018
ring               pooled_global_w1         1  0.0525+/-0.0030
ring               pooled_global_w1         2  0.0419+/-0.0077
ring               pooled_global_w1         4  0.0332+/-0.0052
ring               pooled_global_w1         8  0.0329+/-0.0021
ring               pooled_global_w1        16  0.0299+/-0.0019

spiral             local_sigreg             1  0.0804+/-0.0118
spiral             local_sigreg             2  0.0719+/-0.0015
spiral             local_sigreg             4  0.0795+/-0.0045
spiral             local_sigreg             8  0.0709+/-0.0065
spiral             local_sigreg            16  0.0654+/-0.0049
spiral             global_sigreg            1  0.0804+/-0.0118
spiral             global_sigreg            2  0.0754+/-0.0033
spiral             global_sigreg            4  0.0765+/-0.0035
spiral             global_sigreg            8  0.0683+/-0.0026
spiral             global_sigreg           16  0.0679+/-0.0025
spiral             pooled_sigreg            1  0.0830+/-0.0042
spiral             pooled_sigreg            2  0.0820+/-0.0015
