epoch,eval/knn_probe_emb_accuracy,eval/knn_probe_proj_accuracy,eval/linear_probe_emb_top1_epoch,eval/linear_probe_emb_top1_step,eval/linear_probe_emb_top5_epoch,eval/linear_probe_emb_top5_step,eval/linear_probe_proj_top1_epoch,eval/linear_probe_proj_top1_step,eval/linear_probe_proj_top5_epoch,eval/linear_probe_proj_top5_step,fit/inv_loss,fit/reg_loss,step,train/linear_probe_emb_loss_epoch,train/linear_probe_emb_loss_step,train/linear_probe_proj_loss_epoch,train/linear_probe_proj_loss_step
0,,,,,,,,,,,,,49,,2.3194427490234375,,2.2779464721679688
,,,,0.02678571455180645,,0.5234375,,0.0147569440305233,,0.6640625,,,0,,,,
,,,,0.01796874962747097,,0.5234375,,0.0147569440305233,,0.6484375,,,1,,,,
,,,,0.025390625,,0.4765625,,0.0166015625,,0.6796875,,,2,,,,
,,,,0.05166666954755783,,0.4906666874885559,,0.052666667848825455,,0.7013333439826965,,,3,,,,
,,,,0.0078125,,0.640625,,0.010416666977107525,,0.7421875,,,4,,,,
,,,,0.0031250000465661287,,0.609375,,0.0062500000931322575,,0.7421875,,,5,,,,
,,,,0.009885826148092747,,0.4768170416355133,,0.007797271013259888,,0.7662907242774963,,,6,,,,
,,,,0.00434027798473835,,0.5859375,,0.015625,,0.7421875,,,7,,,,
,,,,0.0008695651777088642,,0.5996655225753784,,0.02222222276031971,,0.7287625074386597,,,8,,,,
,,,,0.0008680555620230734,,0.5859375,,0.0,,0.546875,,,9,,,,
,,,,0.0023437500931322575,,0.6328125,,0.0007812500116415322,,0.578125,,,10,,,,
,,,,0.0,,0.6783217191696167,,0.0,,0.5221445560455322,,,11,,,,
,,,,0.0,,0.7578125,,0.0034722222480922937,,0.71875,,,12,,,,
,,,,0.0017361111240461469,,0.796875,,0.0048828125,,0.5625,,,13,,,,
,,,,0.0015625000232830644,,0.75,,0.0026041667442768812,,0.5625,,,14,,,,
