epoch,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
0,,,,,,0.26278892159461975,,3.4488682746887207,,63.96875,49,,4.604221343994141
0,,,,,,0.36620262265205383,,2.8166425228118896,,49.375,99,,4.511133193969727
0,,,,,,0.4171783924102783,,2.2342100143432617,,36.75,149,,4.446321487426758
,,0.04977203905582428,,0.1888359785079956,,,,,,,0,,
,,0.0086805559694767,,0.12391304224729538,,,,,,,1,,
,,0.038435373455286026,,0.1904762089252472,,,,,,,2,,
,,0.05400874465703964,,0.18429584801197052,,,,,,,3,,
,,0.039649125188589096,,0.19539004564285278,,,,,,,4,,
,,0.01344086043536663,,0.19138577580451965,,,,,,,5,,
,,0.0347222238779068,,0.18436092138290405,,,,,,,6,,
,,0.05649122595787048,,0.23719298839569092,,,,,,,7,,
,,0.0533333383500576,,0.1843971610069275,,,,,,,8,,
,,0.02570921927690506,,0.23040294647216797,,,,,,,9,,
,,0.06771930307149887,,0.2456180304288864,,,,,,,10,,
,,0.02956989035010338,,0.2088768184185028,,,,,,,11,,
,,0.056766919791698456,,0.19314181804656982,,,,,,,12,,
,,0.03369565308094025,,0.16235953569412231,,,,,,,13,,
,,0.06093750149011612,,0.22383514046669006,,,,,,,14,,
,,0.04461279511451721,,0.1804123818874359,,,,,,,15,,
,,0.02989690564572811,,0.19605734944343567,,,,,,,16,,
,,0.05319149047136307,,0.22033096849918365,,,,,,,17,,
,,0.044086020439863205,,0.18095239996910095,,,,,,,18,,
,,0.03725198656320572,,0.17341706156730652,,,,,,,19,,
,,0.05621693283319473,,0.17712393403053284,,,,,,,20,,
,,0.03539519011974335,,0.1874113380908966,,,,,,,21,,
,,0.01979166641831398,,0.16827957332134247,,,,,,,22,,
,,0.06238576024770737,,0.15818756818771362,,,,,,,23,,
,,0.05614035204052925,,0.20614036917686462,,,,,,,24,,
,,0.03750000149011612,,0.16982457041740417,,,,,,,25,,
,,0.03676975890994072,,0.20105265080928802,,,,,,,26,,
,,0.046875,,0.1808243691921234,,,,,,,27,,
,,0.056810036301612854,,0.18478262424468994,,,,,,,28,,
,,0.04278350621461868,,0.16510418057441711,,,,,,,29,,
,,0.045876286923885345,,0.19601449370384216,,,,,,,30,,
,,0.03422939032316208,,0.20578232407569885,,,,,,,31,,
,,0.04614035412669182,,0.16960486769676208,,,,,,,32,,
,,0.012890813872218132,,0.22274306416511536,,,,,,,33,,
,,0.04192982614040375,,0.21881720423698425,,,,,,,34,,
,,0.06559140235185623,,0.18115942180156708,,,,,,,35,,
,,0.048245616257190704,,0.21123188734054565,,,,,,,36,,
,,0.0629824548959732,,0.17872339487075806,,,,,,,37,,
,,0.03020833432674408,,0.15780141949653625,,,,,,,38,,
,,0.0,,0.2666666805744171,,,,,,,39,,
0,0.044199999421834946,,0.19409999251365662,,,,,,,,194,,
0,,,,,0.35693684220314026,,2.9196794033050537,,51.61233901977539,,194,4.515349864959717,
1,,,,,,0.47305768728256226,,1.8634673357009888,,28.28125,199,,4.365516662597656
1,,,,,,0.5630363821983337,,1.6198455095291138,,21.703125,249,,4.301540374755859
1,,,,,,0.6026996970176697,,1.395806908607483,,16.46875,299,,4.378606796264648
1,,,,,,0.6064288020133972,,1.215755820274353,,12.7890625,349,,4.259777069091797
,,0.061626143753528595,,0.2502380907535553,,,,,,,40,,
,,0.04375000298023224,,0.19673913717269897,,,,,,,41,,
,,0.06616954505443573,,0.2431216984987259,,,,,,,42,,
,,0.0668402761220932,,0.2527608871459961,,,,,,,43,,
,,0.07061855494976044,,0.2782505750656128,,,,,,,44,,
,,0.05937500298023224,,0.21338951587677002,,,,,,,45,,
,,0.07697594165802002,,0.25646618008613586,,,,,,,46,,
,,0.08265306055545807,,0.28122806549072266,,,,,,,47,,
,,0.04769503325223923,,0.20612968504428864,,,,,,,48,,
,,0.07127659022808075,,0.23534800112247467,,,,,,,49,,
,,0.09302721172571182,,0.2371833771467209,,,,,,,50,,
,,0.0789930522441864,,0.21268117427825928,,,,,,,51,,
,,0.09597447514533997,,0.24451346695423126,,,,,,,52,,
