epoch,eval/knn_probe_emb_accuracy,eval/knn_probe_proj_accuracy,eval/linear_probe_emb_top1_epoch,eval/linear_probe_emb_top1_step,eval/linear_probe_emb_top5_epoch,eval/linear_probe_emb_top5_step,eval/linear_probe_proj_top1_epoch,eval/linear_probe_proj_top1_step,eval/linear_probe_proj_top5_epoch,eval/linear_probe_proj_top5_step,fit/inv_loss,fit/mag_loss,fit/reg_loss,step,train/linear_probe_emb_loss_epoch,train/linear_probe_emb_loss_step,train/linear_probe_proj_loss_epoch,train/linear_probe_proj_loss_step
0,,,,,,,,,,,,,,49,,4.641529083251953,,4.6881256103515625
0,,,,,,,,,,,,,,99,,4.6163177490234375,,4.615802764892578
0,,,,,,,,,,,,,,149,,4.588031768798828,,4.574474334716797
0,,,,,,,,,,,,,,199,,4.509878158569336,,4.526008605957031
0,,,,,,,,,,,,,,249,,4.497007369995117,,4.491966247558594
0,,,,,,,,,,,,,,299,,4.504432678222656,,4.520580291748047
0,,,,,,,,,,,,,,349,,4.523035049438477,,4.518247604370117
0,,,,,,,,,,,,,,399,,4.480510711669922,,4.4641876220703125
0,,,,,,,,,,,,,,449,,4.326484680175781,,4.326189041137695
,,,,0.002051281975582242,,0.2266666740179062,,0.0053571430034935474,,0.24000000953674316,,,,0,,,,
,,,,0.008130081929266453,,0.1711111068725586,,0.007486338727176189,,0.14388889074325562,,,,1,,,,
,,,,0.027796052396297455,,0.3171929717063904,,0.01867368444800377,,0.32294347882270813,,,,2,,,,
,,,,0.003870967775583267,,0.20027777552604675,,0.0045238095335662365,,0.26152777671813965,,,,3,,,,
,,,,0.001025640987791121,,0.029999999329447746,,0.0010169491870328784,,0.13256409764289856,,,,4,,,,
,,,,0.0,,0.03999999910593033,,0.0,,0.046666666865348816,,,,5,,,,
,,,,0.001025640987791121,,0.06333333253860474,,0.002125850412994623,,0.15142858028411865,,,,6,,,,
,,,,0.016874998807907104,,0.32208332419395447,,0.007870370522141457,,0.3854166567325592,,,,7,,,,
,,,,0.004999999888241291,,0.08571428805589676,,0.006500000134110451,,0.1014285683631897,,,,8,,,,
,,,,0.037364132702350616,,0.3873912990093231,,0.019162055104970932,,0.404927521944046,,,,9,,,,
,,,,0.002051281975582242,,0.14791667461395264,,0.003859648946672678,,0.21458333730697632,,,,10,,,,
,,,,0.0005128204938955605,,0.05875222757458687,,0.00032258062856271863,,0.028948307037353516,,,,11,,,,
,,,,0.0009920635493472219,,0.02976190485060215,,0.001428571529686451,,0.037142857909202576,,,,12,,,,
,,,,0.023465817794203758,,0.2797326147556305,,0.017466064542531967,,0.3158823549747467,,,,13,,,,
