Exp 1.3: DDP Simulation
d=4, M=8, BS_per_device=32, accum_steps=8, K=16384, epochs=80 (Option A), seeds=3

Distribution       Mode                     D              W1
ring               local_sigreg             1  0.0696+/-0.0110
ring               local_sigreg             2  0.0749+/-0.0124
ring               local_sigreg             4  0.0659+/-0.0072
ring               local_sigreg             8  0.0673+/-0.0119
ring               local_sigreg            16  0.0595+/-0.0032
ring               local_sigreg            32  0.0631+/-0.0057
ring               local_sigreg            64  0.0614+/-0.0076
ring               global_sigreg            1  0.0696+/-0.0110
ring               global_sigreg            2  0.0618+/-0.0025
ring               global_sigreg            4  0.0619+/-0.0193
ring               global_sigreg            8  0.0594+/-0.0139
ring               global_sigreg           16  0.0582+/-0.0056
ring               global_sigreg           32  0.0565+/-0.0068
ring               global_sigreg           64  0.0520+/-0.0055
ring               pooled_sigreg            1  0.0452+/-0.0022
ring               pooled_sigreg            2  0.0426+/-0.0072
ring               pooled_sigreg            4  0.0415+/-0.0014
ring               pooled_sigreg            8  0.0380+/-0.0020
ring               pooled_sigreg           16  0.0385+/-0.0004
ring               pooled_sigreg           32  0.0456+/-0.0020
ring               pooled_sigreg           64  0.0420+/-0.0016
ring               pooled_global_sigreg     1  0.0452+/-0.0022
ring               pooled_global_sigreg     2  0.0436+/-0.0080
ring               pooled_global_sigreg     4  0.0391+/-0.0031
ring               pooled_global_sigreg     8  0.0472+/-0.0016
ring               pooled_global_sigreg    16  0.0469+/-0.0058
ring               pooled_global_sigreg    32  0.0539+/-0.0073
ring               pooled_global_sigreg    64  0.0570+/-0.0069
ring               local_w1                 1  0.0753+/-0.0050
ring               local_w1                 2  0.0729+/-0.0139
ring               local_w1                 4  0.0744+/-0.0062
ring               local_w1                 8  0.0597+/-0.0039
ring               local_w1                16  0.0534+/-0.0065
ring               local_w1                32  0.0604+/-0.0071
ring               local_w1                64  0.0574+/-0.0070
ring               global_w1                1  0.0753+/-0.0050
ring               global_w1                2  0.0602+/-0.0037
ring               global_w1                4  0.0460+/-0.0068
ring               global_w1                8  0.0381+/-0.0099
ring               global_w1               16  0.0287+/-0.0022
ring               global_w1               32  0.0393+/-0.0104
ring               global_w1               64  0.0428+/-0.0065
ring               pooled_w1                1  0.0418+/-0.0089
ring               pooled_w1                2  0.0349+/-0.0023
ring               pooled_w1                4  0.0315+/-0.0019
ring               pooled_w1                8  0.0340+/-0.0052
ring               pooled_w1               16  0.0313+/-0.0128
ring               pooled_w1               32  0.0260+/-0.0037
ring               pooled_w1               64  0.0334+/-0.0117
ring               pooled_global_w1         1  0.0418+/-0.0089
ring               pooled_global_w1         2  0.0342+/-0.0087
ring               pooled_global_w1         4  0.0331+/-0.0037
ring               pooled_global_w1         8  0.0313+/-0.0044
ring               pooled_global_w1        16  0.0264+/-0.0010
ring               pooled_global_w1        32  0.0444+/-0.0098
ring               pooled_global_w1        64  0.0430+/-0.0027

