epoch,eval/knn_probe_accuracy,eval/linear_probe_top1_epoch,eval/linear_probe_top1_step,eval/linear_probe_top5_epoch,eval/linear_probe_top5_step,fit/inv_loss_epoch,fit/inv_loss_step,fit/loss_epoch,fit/loss_step,fit/reg_loss_epoch,fit/reg_loss_step,step,train/linear_probe_loss_epoch,train/linear_probe_loss_step
0,,,,,,,0.23101846873760223,,3.6823582649230957,,69.25,49,,4.605995178222656
0,,,,,,,0.3088797926902771,,2.91843581199646,,52.5,99,,4.497047424316406
0,,,,,,,0.40009456872940063,,2.16719913482666,,35.75,149,,4.427217483520508
,,,0.03594470024108887,,0.16846561431884766,,,,,,,0,,
,,,0.0260416679084301,,0.10507246106863022,,,,,,,1,,
,,,0.035300206393003464,,0.15880952775478363,,,,,,,2,,
,,,0.06158234179019928,,0.15985308587551117,,,,,,,3,,
,,,0.04095744714140892,,0.2154255211353302,,,,,,,4,,
,,,0.011648745276033878,,0.15992510318756104,,,,,,,5,,
,,,0.06736842542886734,,0.17315790057182312,,,,,,,6,,
,,,0.046315792948007584,,0.20105263590812683,,,,,,,7,,
,,,0.031578950583934784,,0.1840425431728363,,,,,,,8,,
,,,0.07336956262588501,,0.19706961512565613,,,,,,,9,,
,,,0.05638297647237778,,0.19308510422706604,,,,,,,10,,
,,,0.04336917772889137,,0.19347825646400452,,,,,,,11,,
,,,0.0668671727180481,,0.15486541390419006,,,,,,,12,,
,,,0.06304347515106201,,0.1698502004146576,,,,,,,13,,
,,,0.0442105270922184,,0.16720429062843323,,,,,,,14,,
,,,0.060996562242507935,,0.19243985414505005,,,,,,,15,,
,,,0.02812499925494194,,0.1596774160861969,,,,,,,16,,
,,,0.062056735157966614,,0.2086288332939148,,,,,,,17,,
,,,0.028260869905352592,,0.2003663182258606,,,,,,,18,,
,,,0.04226803779602051,,0.1785714328289032,,,,,,,19,,
,,,0.039855070412158966,,0.16745129227638245,,,,,,,20,,
,,,0.03977663069963455,,0.17163120210170746,,,,,,,21,,
,,,0.04027777910232544,,0.15698924660682678,,,,,,,22,,
,,,0.04625850170850754,,0.18605440855026245,,,,,,,23,,
,,,0.054385967552661896,,0.2178947478532791,,,,,,,24,,
,,,0.027835050597786903,,0.19017544388771057,,,,,,,25,,
,,,0.04635416716337204,,0.15263158082962036,,,,,,,26,,
,,,0.0833333358168602,,0.19551971554756165,,,,,,,27,,
,,,0.04999999701976776,,0.17554347217082977,,,,,,,28,,
,,,0.06197916716337204,,0.17413194477558136,,,,,,,29,,
,,,0.03506944328546524,,0.17010869085788727,,,,,,,30,,
,,,0.04265233129262924,,0.19304031133651733,,,,,,,31,,
,,,0.04273049533367157,,0.1533181369304657,,,,,,,32,,
,,,0.044329896569252014,,0.15057043731212616,,,,,,,33,,
,,,0.04574467986822128,,0.20000000298023224,,,,,,,34,,
,,,0.0556737557053566,,0.17518115043640137,,,,,,,35,,
,,,0.04202127456665039,,0.20923912525177002,,,,,,,36,,
,,,0.058245617896318436,,0.21084094047546387,,,,,,,37,,
,,,0.03526315838098526,,0.15124113857746124,,,,,,,38,,
,,,0.0,,0.2666666805744171,,,,,,,39,,
0,0.05739999935030937,0.0471000000834465,,0.17949999868869781,,,,,,,,194,,
0,,,,,,0.3348363935947418,,2.981353282928467,,53.265384674072266,,194,4.5302910804748535,
1,,,,,,,0.483770489692688,,1.756456971168518,,25.9375,199,,4.36640739440918
1,,,,,,,0.5540812015533447,,1.5390725135803223,,20.25,249,,4.324289321899414
1,,,,,,,0.5702877640724182,,1.4060311317443848,,17.28125,299,,4.368825912475586
1,,,,,,,0.595791220664978,,1.2871930599212646,,14.421875,349,,4.226285934448242
,,,0.0796099305152893,,0.24727512896060944,,,,,,,40,,
,,,0.07164948433637619,,0.1973084956407547,,,,,,,41,,
,,,0.07717391848564148,,0.2435714304447174,,,,,,,42,,
,,,0.0605158731341362,,0.22383485734462738,,,,,,,43,,
,,,0.05931713432073593,,0.24840426445007324,,,,,,,44,,
,,,0.07105263322591782,,0.24054308235645294,,,,,,,45,,
,,,0.07903779298067093,,0.2582706809043884,,,,,,,46,,
,,,0.08900343626737595,,0.25543859601020813,,,,,,,47,,
,,,0.052577316761016846,,0.21276596188545227,,,,,,,48,,
,,,0.07340425252914429,,0.23836997151374817,,,,,,,49,,
,,,0.07982203364372253,,0.21664133667945862,,,,,,,50,,
,,,0.0503472238779068,,0.2246376872062683,,,,,,,51,,
,,,0.06627393513917923,,0.2610248327255249,,,,,,,52,,
,,,0.06868132203817368,,0.26760298013687134,,,,,,,53,,
,,,0.07951389253139496,,0.2680235505104065,,,,,,,54,,
,,,0.060374148190021515,,0.27749139070510864,,,,,,,55,,
,,,0.05657830461859703,,0.2091141939163208,,,,,,,56,,
,,,0.0709049254655838,,0.1905437409877777,,,,,,,57,,
,,,0.07222222536802292,,0.22271063923835754,,,,,,,58,,
,,,0.068204365670681,,0.25136056542396545,,,,,,,59,,
,,,0.0662963017821312,,0.25294914841651917,,,,,,,60,,
,,,0.07456597685813904,,0.20852330327033997,,,,,,,61,,
,,,0.0824652761220932,,0.23673835396766663,,,,,,,62,,
,,,0.09208753705024719,,0.24516521394252777,,,,,,,63,,
,,,0.09769345074892044,,0.2723308205604553,,,,,,,64,,
,,,0.06185566633939743,,0.24561405181884766,,,,,,,65,,
,,,0.042006805539131165,,0.24263158440589905,,,,,,,66,,
,,,0.06122449412941933,,0.2200716733932495,,,,,,,67,,
,,,0.07748226821422577,,0.2583591938018799,,,,,,,68,,
,,,0.06958762556314468,,0.19253474473953247,,,,,,,69,,
,,,0.03453608602285385,,0.23568841814994812,,,,,,,70,,
,,,0.04237588495016098,,0.204304039478302,,,,,,,71,,
,,,0.02568027190864086,,0.2041793316602707,,,,,,,72,,
,,,0.04783549904823303,,0.23601190745830536,,,,,,,73,,
,,,0.051595740020275116,,0.23207885026931763,,,,,,,74,,
,,,0.06284722685813904,,0.20000000298023224,,,,,,,75,,
