Per-sample gradient bias/variance at fixed anchor points
distributions=['standard_normal', 'shifted_normal', 'scaled_normal', 'laplace', 'student_t5', 'uniform', 'mixture_gauss', 'skewnormal']
anchors=[-1.5, -0.5, 0.5, 1.5], Ns=[16, 32, 64, 128, 256, 512, 1024, 2048, 4096], n_seeds=2000
Aggregation: median over seeds (IQR / std).

loss  distribution           y*      N        med grad       std grad  |med|/std
--------------------------------------------------------------------------------------
w1    scaled_normal       -1.50     64     -1.5625e-02     1.8460e-03      8.464
w1    scaled_normal       -1.50    128     -7.8125e-03     3.4939e-04     22.361
w1    scaled_normal       -1.50    256     -3.9062e-03     0.0000e+00 3906249999999999527918501888.000
w1    scaled_normal       -1.50    512     -1.9531e-03     0.0000e+00 1953124999999999763959250944.000
w1    scaled_normal       -1.50   1024     -9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    scaled_normal       -1.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    scaled_normal       -1.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    scaled_normal       -0.50     16     -6.2500e-02     5.7723e-02      1.083
w1    scaled_normal       -0.50     32     -3.1250e-02     2.6467e-02      1.181
w1    scaled_normal       -0.50     64     -1.5625e-02     1.1327e-02      1.379
w1    scaled_normal       -0.50    128     -7.8125e-03     3.5478e-03      2.202
w1    scaled_normal       -0.50    256     -3.9062e-03     1.1205e-03      3.486
w1    scaled_normal       -0.50    512     -1.9531e-03     1.9512e-04     10.010
w1    scaled_normal       -0.50   1024     -9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    scaled_normal       -0.50   2048     -4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    scaled_normal       -0.50   4096     -2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    scaled_normal       +0.50     16     +6.2500e-02     5.7324e-02      1.090
w1    scaled_normal       +0.50     32     +3.1250e-02     2.6979e-02      1.158
w1    scaled_normal       +0.50     64     +1.5625e-02     1.1546e-02      1.353
w1    scaled_normal       +0.50    128     +7.8125e-03     3.6085e-03      2.165
w1    scaled_normal       +0.50    256     +3.9062e-03     1.0530e-03      3.710
w1    scaled_normal       +0.50    512     +1.9531e-03     1.9512e-04     10.010
w1    scaled_normal       +0.50   1024     +9.7656e-04     0.0000e+00 976562499999999881979625472.000
w1    scaled_normal       +0.50   2048     +4.8828e-04     0.0000e+00 488281249999999940989812736.000
w1    scaled_normal       +0.50   4096     +2.4414e-04     0.0000e+00 244140624999999970494906368.000
w1    scaled_normal       +1.50     16     +6.2500e-02     3.1796e-02      1.966
w1    scaled_normal       +1.50     32     +3.1250e-02     1.1953e-02      2.614
w1    scaled_normal       +1.50     64     +1.5625e-02     2.4139e-03      6.473
w1    scaled_normal       +1.50    128     +7.8125e-03     3.4939e-04     22.361
w1    scaled_normal       +1.50    256     +3.9062e-03     0.0000e+00 3906249999999999527918501888.000
w1    scaled_normal       +1.50    512     +1.9531e-03     0.0000e+00 1953124999999999763959250944.000
w1    scaled_normal       +1.50   1024     +9.7656e-04     0.0000e+00 976562499999999881979625472.000
